1.FAM;2.SP;2.Especies2;21.NECTAR;3.MSUG;4.CSUG;5.NPOL;6.VPOL;7.POR;8.AN;9.SIZ;10.SIM;11.SOLD;12.HUE;13.BRI;14.CHR;15.UV;16.GC;17.DIST;18.CAT;19.COLOR;20.COROLA;Floral display;FdSize;FD x FD Size
Amaryllidaceae;Allium roseum;Allium_roseum;SI;365;10.6;30960;0.67;3;P;21.5;R;NO;666.87;335.7232;1.457649635;0.010122929;0.23682363;0.249995676;B-G;white;Radiada;;;2.16408E-05
Primulaceae;Anagallis arvensis;Anagallis_arvensis;NO;0;;10913;0.05;3;A;10.63;R;NO;669.235;244.8167275;1.906672191;0.216168873;0.038430492;0.262947397;UV;red;Rotacea;;;4.69843E-06
Primulaceae;Anagallis monelli;Anagallis_monelli;NO;0;;80920;0.22;3;P;15.5;R;NO;487.1933333;191.5283;2.035132262;0.339504126;0.07025436;0.361617553;UV-B;blue;Rotacea;233;3611.5;2.71873E-06
Boraginaceae;Anchusa azurea;Anchusa_azurea;SI;930;21.82;24360;0.46;3;P;13;R;SI;697.4276667;146.8098637;2.475146976;0.162008923;0.102575867;0.297566501;UV-B;blue;Hipocrateriforme;1034;13442;1.88834E-05
Boraginaceae;Anchusa calcarea;Anchusa_calcarea;SI;408;17.51;25370;0.6;3;P;9;R;SI;695.8366667;210.9866733;1.974876769;0.09193501;0.047129959;0.214918854;B;blue;Hipocrateriforme;127;1143;2.365E-05
Fabaceae;Anthyllis cytisoides;Anthyllis_cytisoides;SI;122;17.61;3569;0.04;2;;11.5;Z;NO;587.1633333;318.1828667;1.332979449;0.148815446;0.217758702;0.154044865;G-UV;yellow;Papilionada;765;8797.5;1.12076E-05
Asphodelaceae;Asphodelus fistulosus;Asphodelus_fistulosus;SI;2.21;24;2488;0.61;3;;18;R;NO;563.673;399.863137;1.402915217;0.027967843;0.419640359;0.168372075;B-G;white;Radiada;;;0.000245177
Asphodelaceae;Asphodelus ramosus;Asphodelus_ramosus;SI;1214;12.8;;;3;P;38;R;NO;544.965;331.18953;1.43710419;0.098444192;0.230917371;0.081131278;B;white;Radiada;;;#¡DIV/0!
Orobanchaceae;Bartsia trixago;Bartsia_trixago;NO;0;;34865;0.48;3;A;21;Z;SI;525.343;512.80441;1.41766439;0.017677322;0.319334774;0.237476147;B-G;white;Bilabiada;;;1.37674E-05
Fabaceae;Bituminaria bituminosa;Bituminaria_bituminosa;SI;277;21.3;;;3;P;15;Z;NO;697.754;188.823728;2.437592199;0.04260985;0.026594337;0.21855531;B;purple;Papilionada;;;#¡DIV/0!
Gentianaceae;Blackstonia perfoliata;Blackstonia_perfoliata;NO;0;;40853;0.22;3;A;14.5;R;SI;579.744;243.029528;1.729578047;0.125505264;0.149235502;0.241830935;G-UV;yellow;Rotacea;;;5.38516E-06
Boraginaceae;Borago officinalis;Borago_officinalis;SI;2100;;;;3;A;27.5;R;SI;698.34;156.000455;2.611365096;0.151444157;0.101799187;0.318282836;UV-B;blue;Rotacea;;;#¡DIV/0!
Cucurbitaceae;Bryonia dioica;Bryonia_dioica;;;;29435;1.51;3;P;9;R;NO;551.99;470.85346;0.664964461;0.191490502;0.285711986;0.067336508;UV;white;Rotacea;;;5.12995E-05
Campanulaceae;Campanula erinus;Campanula_erinus;SI;0.009;;3410;0.017;3;A;1.5;R;SI;479.035;348.5167575;1.328535664;0.047528275;0.22358972;0.139375404;B-G;purple;Campanulada;;;4.98534E-06
Campanulaceae;Campanula lusitanica;Campanula_lusitanica;SI;0.04;;80340;0.55;3;A;16;R;SI;660.2964286;106.1247014;2.448275426;0.231456639;0.2345354;0.335844809;UV-B;purple;Campanulada;;;6.8459E-06
Campanulaceae;Campanula rapunculus;Campanula_rapunculus;SI;200;;;;3;B;17;R;SI;694.8533333;448.3884433;1.485098854;0.180217686;0.205478521;0.163513473;UV-B;purple;Campanulada;;;#¡DIV/0!
Gentianaceae;Centaurium erythraea;Centaurium_erythraea;NO;0;;117429;0.72;3;;12.5;R;SI;699.8633333;253.65569;2.028951062;0.137295499;0.046803346;0.26452129;UV-B;pink;Hipocrateriforme;;;6.13136E-06
Boraginaceae;Cerinthe gymnandra;Cerinthe_gymnandra;SI;425.99;22.11;295080;0.449854395;3;A;7.5;R;SI;558.776;322.981463;1.384874819;0.038176216;0.224656419;0.184763133;B-G;yellow;Tubular;;;1.52452E-06
Boraginaceae;Cerinthe major;Cerinthe_major;SI;1630.15;28.73;649680;0.72;3;A;7.5;R;SI;699.5913333;116.5845827;2.375721904;0.263561505;0.196055692;0.310268596;UV-B;purple;Tubular;;;1.10824E-06
Cistaceae;Cistus albidus;Cistus_albidus;SI;302;78.92;233470;7.42;2;P;45;R;NO;666.122;320.970102;1.842310755;0.047716384;0.122941198;0.176945929;B;pink;Radiada;18;81;3.17814E-05
Cistaceae;Cistus crispus;Cistus_crispus;SI;388;96.62;170164;3.3;2;P;32;R;NO;695.0766667;287.45554;1.838356087;0.207270321;0.081619025;0.298332705;UV-B;pink;Radiada;47;154;1.93931E-05
Cistaceae;Cistus ladanifer;Cistus_ladanifer;SI;1702;90.3;564623;30.01;2;P;95;R;NO;566.7083333;384.1840417;1.426201737;0.011603202;0.273707328;0.300157003;B-G;white;Radiada;18;171;5.31505E-05
Cistaceae;Cistus libanotis;Cistus_libanotis;SI;18;;43266;2.4;2;P;27;R;NO;545.805;384.507895;1.439503458;0.010152679;0.272253042;0.295164525;B-G;white;Radiada;118;3186;5.54708E-05
Cistaceae;Cistus monspeliensis;Cistus_monspeliensis;SI;476;103.3;33418;1.36;2;P;28;R;NO;568.1833333;416.5361233;1.42940335;0.014887546;0.288453605;0.278924558;B-G;white;Radiada;69;1932;4.06966E-05
Cistaceae;Cistus salviifolius;Cistus_salviifolius;SI;420;105;57258;2.56;2;P;43;R;NO;594.5916667;448.7112783;1.442024507;0.012917304;0.292210196;0.266198492;B-G;white;Radiada;44;1892;4.47099E-05
Ranunculaceae;Clematis flammula;Clematis_flammula;NO;0;;239444;1.1;3;P;22;R;NO;540.5866667;594.5641233;1.353839272;0.024968867;0.337602572;0.169121525;B-G;white;Radiada;195;429;4.59398E-06
Convolvulaceae;Convolvulus althaeoides;Convolvulus_althaeoides;SI;800;;;;2;P;35;R;SI;652.7966667;517.2122933;1.538167969;0.066974582;0.251927553;0.111948254;B;pink;Infundibuliforme;;;#¡DIV/0!
Convolvulaceae;Convolvulus arvensis;Convolvulus_arvensis;SI;240.93;22.24;13700;1.23;3;P;21.5;R;SI;487.1457143;630.7617867;1.407061227;0.018357827;0.346149122;0.196554381;B-G;white;Infundibuliforme;;;8.9781E-05
Fabaceae;Coronilla juncea;Coronilla_juncea;NO;0;;38280;0.07;2;P;7.25;Z;NO;603.1133333;342.1084933;1.817847545;0.076579589;0.234037222;0.259538916;G-UV;yellow;Papilionada;434;3146.5;1.82863E-06
Rosaceae;Crataegus monogyna;Crataegus_monogyna;SI;98;14.05;24141;0.067;2;P;13;R;NO;475.635;574.688055;1.391179565;0.021718988;0.338346011;0.207523718;B-G;white;Radiada;1023;13299;2.77536E-06
Boraginaceae;Cynoglossum creticum;Cynoglossum_creticum;SI;300;;359625;0.16;3;B;8.5;R;SI;699.97;270.23233;1.510434285;0.200773565;0.10374163;0.198028162;UV-B;blue;Rotacea;;;4.44908E-07
Cytinaceae;Cytinus hypocistis;Cytinus_hypocistis;SI;67;;;;3;A;16;R;;580.1766667;336.6382867;1.375597975;0.079140652;0.237130483;0.237130483;G;yellow;Infundibuliforme;10;16;#¡DIV/0!
Fabaceae;Cytisus grandiflorus;Cytisus_grandiflorus;NO;0;;72889;0.4;2;;20.5;Z;NO;603.525;314.37618;1.761211458;0.110163028;0.202430678;0.254159453;G-UV;yellow;Papilionada;538;1129;5.4878E-06
Thymelaeaceae;Daphne gnidium;Daphne_gnidium;SI;25;29.59;3276;0.02;2;P;5.5;R;SI;544.3316667;250.7650642;1.497187321;0.046120491;0.175509823;0.171830873;B-G;white;Hipocrateriforme;997;5483.5;6.10501E-06
Asparagaceae;Dipcadi serotinum;Dipcadi_serotinum;SI;35.6;17.43;4472;0.23;3;P;27;R;SI;693.5043333;149.3942933;1.733893955;0.136056154;0.069785579;0.083748;UV-B;red;Campanulada;;;5.14311E-05
Brassicaceae;Diplotaxis erucoides;Diplotaxis_erucoides;NO;0;;112887;0.8;3;A;20;R;NO;503.3162069;547.6621569;1.428241423;0.014416869;0.327854961;0.242098398;B-G;white;Radiada;;;7.08673E-06
Brassicaceae;Diplotaxis virgata;Diplotaxis_virgata;NO;0;;64980;0.46;3;A;15;R;NO;582.0283333;543.2350027;1.425999028;0.203955451;0.305078904;0.205035913;G-UV;yellow;Radiada;;;7.0791E-06
Asteraceae;Dittrichia viscosa;Dittrichia_viscosa;SI;116;44;81740;0.6;2;A;9.8;R;SI;584.9316667;368.3718733;1.68650275;0.151205782;0.243841736;0.315048903;G-UV;yellow;Liguladas;101;989.8;7.34035E-06
Asparagaceae;Drimia maritima;Drimia_maritima;SI;85.3;29.04;60636;1.93;3;P;21;R;NO;468.707;283.449457;1.288292359;0.080998529;0.396512708;0.102787466;B;white;Radiada;;;3.18293E-05
Boraginaceae;Echium gaditanum;Echium_gaditanum;SI;218;11.73;194825;0.18;3;;16;Z;SI;699.21;202.4786033;1.449854813;0.240931585;0.001039634;0.280768907;UV-B;purple;Infundibuliforme;582;9312;9.23906E-07
Boraginaceae;Echium plantagineum;Echium_plantagineum;SI;230;11.43;382229;0.57;3;;25;Z;SI;697.3633333;82.59405;2.953039051;0.222909286;0.248975486;0.303250193;UV-B;blue;Infundibuliforme;61;1525;1.49125E-06
Ericaceae;Erica arborea;Erica_arborea;SI;46;10.79;;;2;P;2.75;R;SI;516.8833333;395.2126133;1.223461842;0.060035594;0.265044406;0.10032192;B;white;Campanulada;;;#¡DIV/0!
Ericaceae;Erica umbellata;Erica_umbellata;SI;36;14.35;5481;0.26;2;P;4.25;R;SI;656.4066667;292.52502;1.898108775;0.053089101;0.093524068;0.177756679;B;pink;Campanulada;2380;1115;4.74366E-05
Fabaceae;Erophaca baetica;Erophaca_baetica;SI;3008;21.8;306300;0.78;3;P;31.5;Z;NO;535.414;366.4186093;1.427736278;0.028968253;0.259794967;0.232833176;B-G;white;Papilionada;;;2.54652E-06
Caprifoliaceae;Fedia cornucopiae;Fedia_cornucopiae;SI;0.009;;2303;0.14;3;A;12;Z;SI;692.13;262.9423367;1.582225555;0.077434508;0.09756239;0.1581167;B;purple;Hipocrateriforme;;;6.07903E-05
Asteraceae;Galactites tomentosa;Galactites_tomentosa;SI;0.009;;;0.6;3;A;;R;SI;667.02;193.58633;2.166225169;0.009832186;0.096227371;0.287958883;B;pink;Tubular;;;#¡DIV/0!
Fabaceae;Genista hirsuta;Genista_hirsuta;NO;0;;4248;0.072;2;P;10.5;Z;NO;604.69;379.51381;1.817120927;0.107031902;0.236189598;0.281403017;G-UV;yellow;Papilionada;1608;16884;1.69492E-05
Fabaceae;Genista triacanthos;Genista_triacanthos;NO;0;;3823;0.02;2;P;5.25;Z;NO;603.12;330.7602467;1.983239117;0.071166095;0.220168145;0.348619618;G-UV;yellow;Papilionada;7783;486.75;5.23149E-06
Cistaceae;Halimium calycinum;Halimium_calycinum;NO;0;;24849;2.48;2;P;23;R;NO;580.405;519.848045;1.20160199;0.220806762;0.294863591;0.150437608;UV;yellow;Radiada;152;3496;9.98028E-05
Cistaceae;Halimium halimifolium;Halimium_halimifolium;NO;0;;44051;1.61;2;P;18;R;NO;589.5133333;348.2735417;1.51962005;0.208012401;0.218951458;0.270622096;G-UV;yellow;Radiada;136;2448;3.65485E-05
Boraginaceae;Heliotropium europaeum;Heliotropium_europaeum;SI;15;14.9;;;3;A;2.75;R;SI;556.624;399.5849527;1.337106193;0.039653791;0.265207517;0.14381853;B-G;white;Infundibuliforme;;;#¡DIV/0!
Hypericaceae;Hypericum perforatum;Hypericum_perforatum;NO;0;;;;3;P;25;R;NO;636.075;410.96706;1.614740025;0.2095076;0.223298639;0.2961488;G-UV;yellow;Radiada;;;#¡DIV/0!
Lamiaceae;Lavandula stoechas;Lavandula_stoechas;SI;205;19.47;3396;0.04;2;P;7.5;R;SI;699.7566667;184.7081533;2.139313821;0.116682267;0.034153132;0.211244632;UV-B;purple;Infundibuliforme;725;5437.5;1.17786E-05
Amaryllidaceae;Leucojum autumnale;Leucojum_autumnale;NO;0;;;;3;P;19;R;SI;522.066;485.536874;1.258021166;0.056670301;0.297420699;0.099204821;B;white;Campanulada;;;#¡DIV/0!
Amaryllidaceae;Leucojum trichophyllum;Leucojum_trichophyllum;NO;0;;119083;0.249589824;3;P;30;R;SI;510.6785714;519.932449;1.347127887;0.029038594;0.366134192;0.15840156;B-G;white;Campanulada;;;2.09593E-06
Plantaginaceae;Linaria viscosa;Linaria_viscosa;SI;154.64;18.66;207080;0.25;3;A;27;Z;SI;581.7726316;346.3775889;1.924152748;0.027999833;0.259477676;0.367547187;G;yellow;Bilabiada;;;1.20726E-06
Caprifoliaceae;Lonicera implexa;Lonicera_implexa;SI;587;24.08;10185;1.04;2;P;35;Z;SI;683.9533333;296.2241533;1.557500791;0.028079329;0.208569071;0.216436894;B-G;white;Bilabiada;40;14;0.000102111
Fabaceae;Lupinus angustifolius;Lupinus_angustifolius;NO;0;;22018;0.29;3;A;13;Z;NO;451.6463333;232.2130597;1.51168102;0.076595414;0.118162219;0.158095497;B;blue;Papilionada;;;1.3171E-05
Fabaceae;Lupinus luteus;Lupinus_luteus;NO;0;;15075;0.23;3;A;13.5;Z;NO;585.6927586;208.379119;2.34813343;0.008011524;0.146665317;0.522821833;G;white;Papilionada;;;1.5257E-05
Plantaginaceae;Misopates orontium;Misopates_orontium;SI;67.68;21.92;51534;0.23;3;A;15.5;Z;SI;697.877;135.1454263;2.09510987;0.034264618;0.088084045;0.189762628;B;pink;Bilabiada;;;4.46307E-06
Myrtaceae;Myrtus communis;Myrtus_communis;NO;0;;1330295;2.66;2;P;22;R;NO;543.9866667;433.80036;1.405658663;0.020689544;0.291089801;0.202770899;B-G;white;Radiada;832;1834;1.99956E-06
Fabaceae;Ononis baetica;Ononis_baetica;NO;0;;49600;0.059;3;A;13.5;Z;NO;695.40375;242.9710013;2.175300285;0.010130751;0.088857046;0.266980296;B-G;pink;Papilionada;;;1.18952E-06
Fabaceae;Ononis pinnata;Ononis_pinnata;NO;0;;;;3;P;17;Z;NO;692.9033333;267.7149233;2.272359434;0.047354378;0.063325306;0.16790328;B;pink;Papilionada;;;#¡DIV/0!
Fabaceae;Ononis viscosa;Ononis_viscosa;NO;0;;;;3;A;12;Z;NO;657.71375;353.5086475;1.653157246;0.121065321;0.227668467;0.245909182;G-UV;yellow;Papilionada;;;#¡DIV/0!
Asparagaceae;Ornithogalum baeticum;Ornithogalum_baeticum;SI;52.77;25;38288;1.99;3;P;36;R;NO;490.2921739;474.918187;1.318108726;0.079364917;0.324277072;0.081330194;B;white;Radiada;;;5.19745E-05
Fabaceae;Ornithopus sativus;Ornithopus_sativus;SI;44;24.89;;;3;A;10;Z;NO;589.44;412.23868;1.636112865;0.027081037;0.228696387;0.199804304;B-G;white;Papilionada;;;#¡DIV/0!
Papaveraceae;Papaver rhoeas;Papaver_rhoeas;NO;0;;;13.3;3;A;60;R;NO;666.7563636;214.4005336;2.597987667;0.208667614;0.153279695;0.34417304;UV;red;Radiada;1;6;#¡DIV/0!
Orobanchaceae;Parentucellia viscosa;Parentucellia_viscosa;SI;0.49;25.5;27336;0.38;3;A;20;Z;SI;579.248;388.511517;1.970028553;0.012280748;0.281315384;0.463353305;G;yellow;Bilabiada;;;1.39011E-05
Lamiaceae;Phlomis purpurea;Phlomis_purpurea;SI;1939.01;38.2;46086;0.055;2;P;26.5;Z;SI;625.636;372.964919;1.435400319;0.039217494;0.239102487;0.291458145;B-G;purple;Bilabiada;12;318;1.19342E-06
Ranunculaceae;Ranunculus muricatus;Ranunculus_muricatus;;;;11120;0.38;3;A;12.5;R;NO;588.2077778;437.5429644;1.720070253;0.153085328;0.262947223;0.377481673;G-UV;yellow;Radiada;;;3.41727E-05
Ranunculaceae;Ranunculus paludosus;Ranunculus_paludosus;;;;284715;3.98;3;P;22.5;R;NO;610.2033333;355.5828733;2.120078349;0.074856272;0.233386436;0.537189142;G-UV;yellow;Radiada;;;1.39789E-05
Brassicaceae;Raphanus raphanistrum;Raphanus_raphanistrum;NO;0;;97800;0.54;3;A;40;R;NO;361.068;709.8011723;0.64268568;0.268388071;0.323617881;0.0898168;UV;yellow;Radiada;;;5.52147E-06
Fabaceae;Retama sphaerocarpa;Retama_sphaerocarpa;SI;0.009;;3448;0.002;2;P;6;Z;NO;645.7125;194.8500125;1.759531417;0.044788684;0.121852809;0.238748265;G;yellow;Papilionada;12065;7239;5.80046E-07
Rhamnaceae;Rhamnus lycioides;Rhamnus_lycioides;NO;0;;20668;0.06;2;P;4;R;NO;545.8266667;113.4583;1.90783518;0.102017004;0.039108858;0.115459474;G;green;Radiada;7742;3968;2.90304E-06
Lamiaceae;Rosmarinus officinalis;Rosmarinus_officinalis;SI;285;19.44;5492;0.14;2;P;10.75;Z;SI;694.8566667;302.51838;1.473526135;0.052864837;0.191977333;0.137181835;B;purple;Bilabiada;620;6665;2.54916E-05
Rosaceae;Rubus ulmifolius;Rubus_ulmifolius;SI;173;17.68;641366;3.21;2;P;23;R;NO;695.5166667;417.81329;1.516952074;0.035241895;0.248658874;0.152144971;B;pink;Radiada;20;46;5.00494E-06
Lamiaceae;Salvia verbenaca;Salvia_verbenaca;SI;170.05;18.9;4973;0.14;3;P;13.5;Z;SI;695.5033333;160.2569073;2.114886087;0.07409342;0.051824446;0.184007469;B;purple;Bilabiada;;;2.8152E-05
Asparagaceae;Scilla autumnalis;Scilla_autumnalis;NO;0;;;;3;P;9;R;SI;698.6675;142.807995;1.875256353;0.037371515;0.029914912;0.217101138;B;purple;Rotacea;;;#¡DIV/0!
Asteraceae;Scolymus hispanicus;Scolymus_hispanicus;SI;0.009;;;0.6;3;P;20.5;R;SI;617.3666667;330.4043167;1.702751329;0.196930936;0.192014465;0.315964083;G-UV;yellow;Liguladas;;;#¡DIV/0!
Fabaceae;Scorpiurus sulcatus;Scorpiurus_sulcatus;SI;1.65;20.56;44913;0.07;3;A;6.5;Z;NO;627.08;321.740909;2.056596582;0.047716563;0.213829489;0.369305746;G;yellow;Papilionada;;;1.55857E-06
Scrophulariaceae;Scrophularia frutescens;Scrophularia_frutescens;SI;106;12.59;22984;0.14;2;;4.5;Z;SI;699.97;130.58353;3.970849718;0.140760538;0.184486825;0.210746601;UV-B;purple;Bilabiada;939;4225.5;6.09119E-06
Orchidaceae;Serapias parviflora;Serapias_parviflora;SI;166;11.3;119;;3;;18;Z;SI;699.97;125.93208;1.875522424;0.167646878;0.076130097;0.153873054;UV-B;purple;Bilabiada;3;54;0
Caryophyllaceae;Silene colorata;Silene_colorata;SI;1016.83;31.31;14023;0.92;3;A;17;R;SI;670.8433333;338.7144955;1.66710074;0.04976284;0.171890169;0.15407987;B;pink;Hipocrateriforme;;;6.56065E-05
Smilacaceae;Smilax aspera;Smilax_aspera;SI;0.009;;19,224;0.08;;;6;R;NO;591.004;125.82341;1.679837539;0.027157425;0.012943437;0.012943437;B-G;white;Radiada;123;738;4.16146E-06
Solanaceae;Solanum nigrum;Solanum_nigrum;;;;55775;0.5;3;A;6.5;R;NO;545.832;362.673032;1.275338505;0.037571682;0.245481554;0.173018539;B-G;white;Rotacea;;;8.96459E-06
Lamiaceae;Stachys ocymastrum;Stachys_ocymastrum;SI;311.6;22.14;36720;0.15;3;A;14.5;Z;SI;562.2533333;413.3539547;1.489780964;0.022366069;0.291510338;0.271523236;B-G;white;Bilabiada;;;4.08497E-06
Fabaceae;Stauracanthus genistoides;Stauracanthus_genistoides;NO;0;;8085;0.05;2;P;10;Z;NO;600.528;334.595196;1.687339143;0.094374192;0.229075786;0.232645976;G-UV;yellow;Papilionada;47;47;6.18429E-06
Tamaricaceae;Tamarix gallica;Tamarix_gallica;SI;0.009;;9570;0.04;2;P;3.8;R;NO;604.55;146.21619;1.319647169;0.042630574;0.089570534;0.18088261;B;white;Radiada;;;4.17973E-06
Lamiaceae;Teucrium capitatum;Teucrium_capitatum;SI;87;30.09;7792;0.06;2;;4.5;Z;SI;491.89;418.7573633;1.313474907;0.031652038;0.284962839;0.175457024;B-G;white;Bilabiada;914;4113;7.70021E-06
Lamiaceae;Teucrium fruticans;Teucrium_fruticans;SI;656;21.48;10144;0.16;2;P;26.5;Z;SI;692.6833333;329.6419433;1.740528803;0.053240212;0.172464924;0.147205539;B;purple;Bilabiada;406;1759;1.57729E-05
Lamiaceae;Thymus mastichina;Thymus_mastichina;SI;19;15.59;2338;0.03;2;P;;Z;SI;564.7966667;402.1131267;1.319653365;0.030751167;0.274834854;0.192138818;B-G;white;Bilabiada;412;;1.28315E-05
Cistaceae;Tuberaria guttata;Tuberaria_guttata;NO;0;;;;3;A;12;R;NO;553.5275;307.46156;1.528210378;0.217085756;0.190223416;0.282957178;G-UV;yellow;Radiada;;;#¡DIV/0!
Fabaceae;Ulex eriocladus;Ulex_eriocladus;NO;0;;6830;0.078;2;P;;Z;NO;595.54;262.3791433;1.852829233;0.057712617;0.182796082;0.211166785;G;yellow;Papilionada;447;;1.14202E-05
Verbenaceae;Verbena officinalis;Verbena_officinalis;;;;2268;0.017;3;P;5.5;Z;SI;698.3433333;217.20802;1.715002635;0.043013377;0.102227796;0.186720325;B;pink;Bilabiada;4;22;7.49559E-06
Fabaceae;Vicia benghalensis;Vicia_benghalensis;SI;100;;;;3;A;14;Z;NO;696.875;107.119125;1.968740481;0.228103855;0.198794323;0.29858635;UV-B;pink;Papilionada;;;#¡DIV/0!
Fabaceae;Vicia faba;Vicia_faba;SI;161;22.6;;;3;A;28.5;Z;NO;508.56;306.379705;1.324364123;0.031125254;0.22783109;0.203593423;B-G;white;Papilionada;;;#¡DIV/0!
Fabaceae;Vicia lutea;Vicia_lutea;NO;0;;;;3;A;25;Z;NO;584.8566667;299.6832567;1.632660691;0.006790239;0.225303999;0.365739619;B-G;white;Papilionada;;;#¡DIV/0!
Fabaceae;Vicia sativa;Vicia_sativa;NO;0;;;;3;A;18.5;Z;NO;466.54;31.12032;4.888421414;0.041318674;0.224112495;0.124253492;B;purple;Papilionada;;;#¡DIV/0!
